date;dur_ttl;dur_outer;l_dur_ttl;l_dur_outer
2016-05-25;742101.6891006494;625806.601286148;36905.80821037465;28358.473539358285
2016-05-26;535708.6155414432;455407.79209137586;35659.153461444905;21761.915206913684
2016-05-27;15388370.486974465;13970406.216859803;1824022.4761962858;1496160.976648349
2016-05-28;14283060.024738407;12952914.89291177;1883792.9828166761;1491837.7456664653
2016-05-29;18650299.7250536;17042312.505008485;2454002.0067690434;2002308.2342147736
2016-05-30;14181599.394559065;12847154.930591509;1851794.5511341083;1442195.6679820563
2016-05-31;13468661.671163121;12361680.361748183;1851068.5441494382;1520790.3988361356
2016-06-01;851601.3467307474;707894.6273329752;214654.96993066615;161104.79283332857
2016-06-02;920438.935280253;770630.4299836474;37344.05279158234;25332.247495660908
2016-06-03;14275760.307073575;12974626.435042193;1903999.5098114877;1472884.5927714447
2016-06-04;16322707.629204025;14985626.87182402;2085476.0174750683;1726783.0874919335
2016-06-05;16593757.316825997;15151731.630564736;2203067.479133669;1773219.8939323763
2016-06-06;18036080.522773057;16560895.17903224;2434240.397214592;1984642.2424313433
2016-06-07;15085262.936351836;13602489.560843108;2765394.0019601393;2277110.7957359734
2016-06-08;467512.8796101044;382777.8019904105;68994.84157562166;46127.05945968262
2016-06-09;347624.94826316513;283695.98388674826;70979.90107535147;38545.06206513378
2016-06-10;21158275.037051987;19070414.484736472;4421782.343150528;3512393.8808425996
2016-06-11;16836372.74313059;15448692.723750433;2353908.47301466;1923895.1952460539
2016-06-12;3320085.90507628;2920032.2234622426;130484.06291007333;106390.32721519048
2016-06-13;23300968.027114626;21347655.586004343;2484317.213057973;2024561.8593696803
2016-06-14;19183372.087478742;17501041.30268049;1944592.148781012;1543126.824140719
2016-06-15;3231599.16639322;3018230.3223606097;7262.65382767084;5480.7760715407285
2016-06-16;1432807.3198797063;1322357.3470118083;36074.71823692676;32693.523168582433
2016-06-17;25261722.93138721;23293022.01580926;1951725.9411812038;1545194.8754788486
2016-06-18;19590270.55001229;17948167.53554412;2021807.1415422533;1618869.050502784
2016-06-19;19948350.72898712;18483301.638127036;1975634.0737342264;1569703.2237051537
2016-06-20;23782264.900209382;21907990.74840578;3066452.2056576465;2476742.499589984
2016-06-21;20091246.623751517;18524371.470928214;2239221.1177349645;1761548.3443737172
2016-06-22;1111267.7066330134;972405.0247670113;70332.98873903253;46474.091291414356
2016-06-23;1694698.008537131;1412199.2301939859;41385.12086867821;29109.793901445006
2016-06-24;21045987.967730418;19333542.368648443;1938563.2221699927;1493917.543411305
2016-06-25;22854487.453224037;20798204.94651736;3368499.7768403767;2721218.990564363
2016-06-26;17144894.00172354;15679407.682419293;6386617.809772175;5646240.207672462
2016-06-27;20873988.948104877;19405738.99411947;5839482.107401245;5210008.03279856
2016-06-28;16291715.704917157;15014961.496353332;4136923.891067415;3658670.980453832
2016-06-29;1132769.154548752;939906.4977170434;206888.13638692355;182422.78933525606
2016-06-30;1168309.553384538;982064.1615391566;143310.5087280544;100227.2005081325
2016-07-01;14775420.421838745;13440955.750941122;5750791.06020871;5083867.112398081
2016-07-02;17811834.04779378;16425703.387972439;5409490.073680581;4799907.64784832
2016-07-03;22729182.866813213;21044132.74884358;4075915.959358198;3644450.70409793
2016-07-04;23593580.676796183;21779060.910938907;4395110.738992894;3877432.550430128
2016-07-05;15732753.65162168;14485722.135782141;3654379.650354329;3209352.5333400676
2016-07-06;665164.6442413131;552734.8928451431;163216.13049511058;130667.02675820621
2016-07-07;1250032.929658917;1076860.2545267027;104208.03952217055;85470.40987013603
2016-07-08;19145341.9692514;17601646.241188634;4739588.082551934;4097194.6887970553
2016-07-09;20182790.36760405;18657052.875994913;5238262.773037152;4671026.825905335
2016-07-10;16828263.183831476;15541158.572908487;4695659.651279222;4279958.775758231
2016-07-11;18260914.600132503;17135041.291234728;3728641.2017345177;3382443.0534838666
2016-07-12;15090029.772520423;13985236.641168611;4200772.328377446;3751607.8522208347
2016-07-13;1409131.1044696004;1233310.1375097716;262507.1284771765;246996.54603002692
2016-07-14;698399.7669220207;588962.4698159265;132767.1055793603;97724.92837905487
2016-07-15;15927603.156569175;14643434.660434373;3979151.841403038;3555301.606416243
2016-07-16;18176598.41203973;17065991.140840344;4434760.545730678;4143621.2668415913
2016-07-17;20872563.660380192;19424831.990242776;4113738.496780574;3669053.5120968223
2016-07-18;20294155.689719774;19118618.522397082;3939852.145910109;3613726.209878644
2016-07-19;12075409.650088534;10985688.85278639;2830025.9845261183;2571943.5153009435
2016-07-20;1357262.2661590318;1136393.178462975;468612.05124858854;399319.900274289
2016-07-21;446972.350120519;312305.396556825;227637.25638386948;170819.71144675597
2016-07-22;16862422.163724635;15587460.819005108;5915721.548318782;5429460.990667072
2016-07-23;20715588.088988468;19237636.093615856;5918569.48161108;5407940.58251375
2016-07-24;23663917.347194605;22049555.111886375;3890641.0331731522;3501408.6747162635
2016-07-25;22767674.079894915;21541295.362951178;4196979.850054472;3877184.7283835537
2016-07-26;18585484.025716998;17447590.009928625;3815738.9671803643;3461559.2949392325
2016-07-27;966345.9792136484;840978.1346320742;133085.9410762629;100631.13522529634
2016-07-28;1005870.8148007978;883278.1307698796;190531.02922446595;169245.06378170167
2016-07-29;19740905.165432423;18577991.3070186;4895176.282883174;4588686.637401618
2016-07-30;23531615.956544362;21798484.031913567;4245399.234532897;3868791.3928033873
2016-07-31;18006122.429132514;16764947.476148723;3939723.268747271;3635539.0694142943
2016-08-01;11373355.495452287;10556229.670764469;3177516.8819425525;2904015.8898833096
2016-08-02;13832335.022926128;12919285.399437848;3059677.59108517;2814938.5435578697
2016-08-03;958094.2451957915;848547.331333289;27356.70280456423;13548.015356069318
2016-08-04;1217523.9446171718;1079988.406658465;0.0;0.0
2016-08-05;10145193.38345447;9429427.752733698;3381261.7433074997;3135860.4536055396
2016-08-06;12457248.630046118;11569617.9103841;3199239.0711306753;2951509.0968607524
2016-08-07;14615549.01504382;13659645.023105275;3333415.5988694653;3068948.3852386037
2016-08-08;10385104.584217897;9586199.574469803;3280190.71578987;2987919.7859765203
2016-08-09;7380100.28219158;6735936.091662732;2423689.2004015106;2158672.2874642364
2016-08-10;507903.953313799;389894.3014146391;53605.024814616416;38655.129671093026
2016-08-11;1687205.7256695684;1505323.6393934847;103871.3183402427;71353.66654396194
2016-08-12;11313645.27225558;10571097.36108845;3011325.030088452;2771382.1165561555
2016-08-13;11734303.671835627;11018831.016778024;4250711.715697816;3958816.317796656
2016-08-14;9481239.071846282;8740458.646060033;3992667.356729672;3686634.2828277685
2016-08-15;9060482.572793849;8275635.87784623;3764768.004655794;3469684.7517491477
2016-08-16;8808821.874857988;7953086.952448222;3024749.984264596;2714883.365154755
2016-08-17;243282.822847339;155752.47144701963;43730.480194114556;25395.793676383433
2016-08-18;223317.05737117608;184895.2314854413;19426.439762124402;13689.55159187584
2016-08-19;10475462.308644945;9692749.032258822;3626257.0610046834;3325586.6842266247
2016-08-20;14091197.699309299;13132659.160378065;4838055.535555372;4510769.595384856
2016-08-21;12827835.926294563;11786108.018159125;3766680.77325834;3460791.228533144
2016-08-22;12289744.839908047;11267870.502233015;4104658.432006785;3752328.1133176032
2016-08-23;11641900.432585651;10689537.363292022;5031202.497958591;4688447.598218624
2016-08-24;564711.49730693;444514.75167277997;59765.14101028456;19891.096115119595
2016-08-25;164469.87390524527;102406.98099141089;75360.19706731013;61438.15255169022
2016-08-26;11394438.984154655;10258873.512984116;3815317.933320978;3518676.6328810076
2016-08-27;11266101.64260763;10400362.743853865;5175262.80927681;4843992.522716498
2016-08-28;11278955.141305197;10598193.095444871;3972979.0024755965;3737234.5023152553
2016-08-29;13441587.575437052;12578580.646040622;6000804.457425708;5610092.27633468
2016-08-30;11897596.206665138;11002843.072652342;5097200.66881149;4730198.337315167
2016-08-31;277677.99353600043;198703.53460308147;67844.14696693627;43276.863574982104
