;dur_ttl;dur_outer;l_dur_ttl;l_dur_outer
0.246.119.65;24014.66870309045;22643.225193023824;0.0;0.0
0.246.14.11;33440.65976145862;32013.139486342738;0.0;0.0
0.246.33.172;7359.66086387629;6741.987943646651;0.0;0.0
0.246.34.209;6594.953060153181;6348.601818078136;0.0;0.0
0.246.34.5;20010.251283657748;18901.77106857502;0.0;0.0
0.246.55.171;63935.66656121392;61205.317497177995;0.0;0.0
0.246.67.245;1225.1007556935301;1109.034776689414;0.0;0.0
0.246.68.208;10576.22027397489;9640.97738266432;0.0;0.0
0.246.73.99;3203.5667896252403;3048.147678374138;0.0;0.0
0.246.94.204;324779.6621317993;303060.500383156;0.0;0.0
0.246.95.131;1297.65486717631;1239.2168045080712;0.0;0.0
0.249.118.35;379804.44741247897;367262.6199722454;0.0;0.0
0.249.66.210;25578.793287282235;21477.320432666;0.0;0.0
0.249.70.250;1275.8719921129;1218.138217921826;0.0;0.0
0.249.9.123;692361.8843553636;653238.7139798193;0.0;0.0
0.249.96.182;18388.10181618132;16939.760208131578;0.0;0.0
0.249.98.130;4707.70287513522;4108.483076097031;0.0;0.0
0.250.12.131;2.4721622467;0.0;0.0;0.0
0.250.121.48;35690.22607803674;34090.58189392303;0.0;0.0
